X,Y,n.,name,N,E,actual function,plan,icon_url
14.255904,40.845636,"105",Basilica di S. Giovanni Maggiore,"40,845636","14,255904",museo,plans/173-1.png,./0.png
14.255024,40.845805,"106",Chiesa di S. Maria della Candelora,"40,845805","14,255024",laboratorio,plans/174-1.png,./0.png
14.253732,40.842118,"107",Chiesa di S. Maria delle Grazie,"40,842118","14,253732",laboratorio,plans/175-1.png,./0.png
14.253829,40.841264,"108",Chiesa di S. Maria del Rimedio al Molo Grande,"40,841264","14,253829",laboratorio,plans/176-1.png,./0.png
14.254663,40.845046,"109",Chiesa dei SS. Demetrio e Bonifacio,"40,845046","14,254663",museo,plans/177-1.png,./0.png
14.253858,40.844968,"110",Arciconfraternita dell'Ecce Homo,"40,844968","14,253858",inattiva,plans/178-1.png,./0.png
14.253514,40.843548,"111",Chiesa dell'Ecce Homo al Cerriglio,"40,843548","14,253514",uffici,plans/179-1.png,./0.png
14.252,40.841114,"112",Chiesa di S. Maria dell'Incoronata,"40,841114","14,252000",inattiva,plans/180-1.png,./0.png
14.253369,40.847193,"113",Chiesa di S. Francesco delle Monache,"40,847193","14,253369",associazione culturale,plans/181-1.png,./0.png
14.252207,40.843985,"114",Chiesa dei SS. Francesco e Saverio,"40,843985","14,252207",attivit� commerciale,plans/183-1.png,./0.png
14.259054,40.852682,"115",Congrega dei Catecumeni e Dottrina Cristiana,"40,852682","14,259054",uffici,plans/184-1.png,./0.png
14.258827,40.854195,"116",Chiesa di S. Maria Donnaregina Nuova,"40,854195","14,258827",museo,plans/185-1.png,./0.png
14.25863,40.854566,"117",Chiesa di S. Maria Donnaregina Vecchia,"40,854566","14,258630",museo,plans/186-1.png,./0.png
14.254506,40.850146,"118",Cappella Pontano,"40,850146","14,254506",inattiva,plans/187-1.png,./0.png
14.252335,40.853137,"119",Chiesa di S. Aniello Maggiore a Caponapoli,"40,853137","14,252335",spazio espositivo,plans/188-1.png,./0.png
14.252186,40.850404,"120",Chiesa di S. Antonio da Padova a Port'Alba,"40,850404","14,252186",biblioteca,plans/189-1.png,./0.png
14.258321,40.849491,"121",Chiesa di S. Biagio Maggiore,"40,849491","14,258321",spazio espositivo,plans/190-1.png,./0.png
14.253793,40.849932,"122",Chiesa della S. Croce di Lucca,"40,849932","14,253793",inattiva,plans/191-1.png,./0.png
14.258287,40.849543,"123",Chiesa di S. Gennaro all'Olmo,"40,849543","14,258287",associazione culturale,plans/192-1.png,./0.png
14.256341,40.854453,"124",S. Lucia a Porta S. Gennaro,"40,854453","14,256341",abitazione,plans/193-1.png,./0.png
14.259089,40.853774,"125",Chiesa di S. Maria Ancillarum,"40,853774","14,259089",uffici,plans/194-1.png,./0.png
14.256341,40.850612,"126",Chiesa di S. Maria della Sanit� agli Archi del Purgatorio,"40,850612","14,256341",spazio espositivo,plans/195-1.png,./0.png
14.255768,40.85059,"127",Chiesa di S. Maria delle Anime del Purgatorio ad Arco,"40,850590","14,255768",museo,plans/196-1.png,./0.png
14.254609,40.850155,"128",Chiesa di S. Maria Maggiore,"40,850155","14,254609",auditorium,plans/197-1.png,./0.png
14.259471,40.849823,"129",Chiesa di S. Nicola a Pistasio,"40,849823","14,259471",associazione culturale,plans/198-1.png,./0.png
14.255421,40.853512,"130",Chiesa di S. Patrizia,"40,853512","14,255421",laboratorio,plans/199-1.png,./0.png
14.254177,40.851922,"131",Chiesa di S. Rosa a Regina Coeli,"40,851922","14,254177",scuola,plans/200-1.png,./0.png
14.255684,40.853701,"132",Chiesa dei SS. Nicandro e Marciano,"40,853701","14,255684",universit�,plans/201-1.png,./0.png
14.255675,40.851929,"133",Chiesa dei SS. Pellegrino ed Emiliano,"40,851929","14,255675",inattiva,plans/202-1.png,./0.png
14.254539,40.85023,"134",Cappella del SS. Salvatore alla Pietrasanta,"40,850230","14,254539",spazio espositivo,plans/203-1.png,./0.png
14.261678,40.851765,"135",Chiesa della Maria Santissima Immacolata della Congregazione dei 63 Sacerdoti,"40,851765","14,261678",laboratorio,plans/204-1.png,./0.png
14.26043,40.855857,"136",Chiesa di S. Giovanni a Carbonara,"40,855857","14,260430",museo,plans/205-1.png,./0.png
14.263924,40.850953,"137",Chiesa di S. Giovanni Battista Sopramuro,"40,850953","14,263924",abitazione,plans/206-1.png,./0.png
14.263941,40.853935,"138",Chiesa di S. Onofrio alla Vicaria,"40,853935","14,263941",uffici,plans/208-1.png,./0.png
14.261812,40.854312,"139",Chiesa di S. Sofia,"40,854312","14,261812",centro sociale,plans/209-1.png,./0.png
14.264716,40.854372,"140",Congrega del SS. Rosario in S. Caterina a Formiello,"40,854372","14,264716",deposito,plans/210-1.png,./0.png
14.26612,40.850333,"141",Chiesa dell'Immacolata a Forcella,"40,850333","14,266120",attivit� commerciale,plans/211-1.png,./0.png
14.261915,40.850494,"142",Chiesa di S. Agrippino a Forcella,"40,850494","14,261915",parzialmente inattiva,plans/212-1.png,./0.png
14.267675,40.848268,"143",Chiesa di S. Alessio al Lavinaio,"40,848268","14,267675",attivit� commerciale,plans/213-1.png,./0.png
14.262915,40.849551,"144",Chiesa della Compagnia della Disciplina della S. Croce,"40,849551","14,262915",inattiva,plans/214-1.png,./0.png
14.267435,40.846599,"145",Arciconfraternita di S. Maria del Carmine,"40,846599","14,267435",centro sociale,plans/216-1.png,./0.png
14.263435,40.846816,"146",Arciconfraternita di S. Maria del Carmine e S. Giovanni Battista,"40,846816","14,263435",inattiva,plans/217-1.png,./0.png
14.265059,40.850588,"147",Cappella di S. Maria della Pace,"40,850588","14,265059",sala mortuaria,plans/218-1.png,./0.png
14.26664,40.84921,"148",Chiesa di S. Maria delle Grazie all'Orto del Conte,"40,849210","14,266640",attivit� commerciale,plans/219-1.png,./0.png
14.265479,40.848295,"149",Chiesa di S. Maria delle Mosche,"40,848295","14,265479",attivit� commerciale,plans/220-1.png,./0.png
14.267408,40.848337,"150",Chiesa di S. Maria di Piedigrotta,"40,848337","14,267408",associazione culturale,plans/221-1.png,./0.png
14.265262,40.849129,"151",Arciconfraternita dei SS. Filippo e Giacomo,"40,849129","14,265262",attivit� commerciale,plans/223-1.png,./0.png
14.255635,40.854071,"152",Chiesa di S. Maria della Consolazione,"40,854071","14,255635",abitazione,plans/224-1.png,./0.png
14.258578,40.851775,"153",Chiesa di San Filippo Neri ai Gerolomini,"40,851775","14,258578",museo,plans/225-1.png,./0.png
